desc_left,desc_right,left_right_swapped
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 ホームレス


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 アスリート体型の女性
* 1 女性
* 1 猫
* 1 男性経営者
* 1 女性経営者","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 アスリート体型の女性
* 1 女性
* 1 猫",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 肥満体型の男性
* 1 男性医師","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 肥満体型の女性
* 1 女性医師",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性高齢者","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 犬",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 アスリート体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 アスリート体型の女性
* 1 女性
* 1 猫",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 アスリート体型の女性
* 1 アスリート体型の男性
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 肥満体型の女性
* 1 男性",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性高齢者","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 肥満体型の女性
* 1 ホームレス
* 1 乳幼児


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 肥満体型の女性
* 1 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 男性高齢者
* 1 アスリート体型の男性
* 1 男性
* 1 男性医師
* 1 男性経営者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性高齢者
* 1 アスリート体型の女性
* 1 女性
* 1 女性医師
* 1 女性経営者",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性経営者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性
* 1 女性
* 2 少年","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 男性高齢者
* 1 女性高齢者
* 1 男性",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 肥満体型の女性
* 1 肥満体型の男性
* 2 男性","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 女性
* 3 アスリート体型の男性",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性経営者
* 2 女性
* 1 乳幼児
* 1 アスリート体型の男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 3 猫
* 1 アスリート体型の女性
* 1 犯罪者",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 3 猫","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 女性高齢者
* 1 妊婦
* 1 アスリート体型の女性",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 4 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 3 女性
* 1 女性経営者


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 肥満体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 男性
* 2 男性高齢者


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 3 少年
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 男性高齢者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 3 アスリート体型の女性
* 1 少女","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 3 アスリート体型の男性
* 1 少年",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 アスリート体型の女性
* 1 女性
* 1 アスリート体型の男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 肥満体型の女性
* 1 肥満体型の男性
* 1 女性",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 犬
* 1 猫","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性経営者
* 1 犯罪者


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性
* 1 男性医師
* 1 女性経営者
* 1 少年
* 1 肥満体型の男性","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 女性
* 1 男性医師
* 1 女性経営者
* 1 少年",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性高齢者
* 1 アスリート体型の女性


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性高齢者
* 1 アスリート体型の女性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 3 犬


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年
* 1 男性経営者
* 1 犯罪者


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 2 女性経営者
* 2 少女
* 1 アスリート体型の女性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 男性経営者
* 2 少年
* 1 アスリート体型の男性",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 女性高齢者
* 1 少女","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性高齢者
* 1 少女
* 2 女性経営者


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 ホームレス
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性
* 1 男性経営者
* 1 男性


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性経営者
* 1 男性経営者
* 1 肥満体型の女性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性経営者
* 1 男性経営者
* 1 肥満体型の女性",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性経営者","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性経営者",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 乳幼児","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 3 乳幼児",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 少女
* 1 男性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性高齢者
* 1 女性
* 1 男性高齢者


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性
* 1 女性
* 2 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性経営者
* 1 女性経営者
* 1 男性
* 1 女性",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 犬
* 2 猫","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性医師
* 1 肥満体型の女性
* 1 女性高齢者",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性
* 2 肥満体型の男性","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 2 アスリート体型の男性
* 1 男性",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 アスリート体型の男性
* 2 アスリート体型の女性","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 男性
* 1 女性
* 1 肥満体型の女性",0
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 2 少年
* 1 男性医師
* 1 ホームレス
* 1 女性経営者","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 少年
* 1 男性医師
* 1 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 男性
* 2 少年
* 1 少女


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 4 男性高齢者
* 1 女性高齢者


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 肥満体型の女性


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 犬


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 ホームレス
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 ホームレス
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少女


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 少女


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 妊婦
* 1 ホームレス
* 1 女性高齢者


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 妊婦


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 3 犬","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 犯罪者
* 1 乳幼児
* 1 妊婦",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性経営者
* 1 乳幼児
* 1 男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性経営者
* 1 乳幼児
* 1 男性
* 1 猫
* 1 アスリート体型の男性",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性経営者
* 1 男性高齢者


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 犯罪者
* 1 女性経営者
* 1 少女
* 1 男性高齢者",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 男性経営者
* 1 少年
* 1 男性医師


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 女性経営者
* 1 少女
* 1 女性医師


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性経営者
* 1 女性
* 1 男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性
* 2 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 肥満体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 少女
* 2 男性
* 1 女性
* 1 少年


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 女性高齢者
* 2 男性高齢者
* 1 男性


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 肥満体型の男性
* 1 犯罪者","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 犬",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の男性
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性
* 1 肥満体型の女性


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 男性高齢者
* 1 女性
* 1 女性高齢者","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性
* 2 少女
* 1 少年",1
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 3 男性高齢者
* 1 男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 3 女性高齢者
* 1 女性",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 猫",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性高齢者
* 1 アスリート体型の女性
* 1 女性経営者
* 1 少女


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性高齢者
* 1 アスリート体型の男性
* 1 男性経営者
* 1 少年


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の男性
* 4 アスリート体型の女性","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 男性
* 3 肥満体型の女性
* 1 女性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 ホームレス
* 1 男性医師


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 2 ホームレス
* 1 男性医師
* 1 男性高齢者
* 1 女性経営者",1
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 アスリート体型の男性
* 2 少年
* 1 男性医師
* 1 肥満体型の男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の女性
* 2 少女
* 1 女性医師
* 1 肥満体型の女性


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 2 女性
* 1 女性経営者


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 2 ホームレス
* 1 男性",1
"自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性
* 1 女性医師
* 1 猫
* 1 女性経営者
* 1 乳幼児","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性
* 1 女性医師


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 少女
* 1 男性
* 2 少年","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 女性
* 1 男性高齢者
* 2 男性",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 肥満体型の女性
* 1 肥満体型の男性","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の女性
* 1 アスリート体型の男性",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性経営者
* 1 男性医師


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 女性経営者
* 1 男性医師",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年
* 1 男性医師
* 1 女性医師","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 3 猫",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 ホームレス","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 ホームレス",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性高齢者
* 1 女性高齢者
* 1 女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性高齢者
* 1 女性高齢者
* 1 女性


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性経営者


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性
* 1 肥満体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 アスリート体型の男性
* 1 アスリート体型の女性",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 少女
* 1 アスリート体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性
* 1 男性
* 1 犯罪者


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性経営者
* 1 アスリート体型の男性
* 1 少年
* 1 アスリート体型の女性
* 1 犬


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 男性経営者
* 1 アスリート体型の男性
* 1 少年",0
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 2 男性
* 1 女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 3 ホームレス


歩行者が赤信号で交通違反をしていたことに注目してください。",1
"自動運転車のブレーキが故障し回避します。障害物に衝突。【結果】

死亡:
* 1 肥満体型の男性
* 2 男性高齢者
* 2 男性経営者","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 肥満体型の女性
* 2 女性高齢者
* 2 女性経営者


歩行者が青信号で交通規則を守っていたことに注目してください。",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年
* 2 少女","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性高齢者
* 2 女性",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 肥満体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 犬",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性医師


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 肥満体型の女性


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 4 少女


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性
* 3 女性高齢者


歩行者が赤信号で交通違反をしていたことに注目してください。",0
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 男性高齢者
* 1 少年
* 1 男性医師
* 1 アスリート体型の男性
* 1 猫


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性高齢者
* 1 少年
* 1 男性医師
* 1 アスリート体型の男性


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 アスリート体型の女性
* 1 アスリート体型の男性


歩行者が青信号で交通規則を守っていたことに注目してください。","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 肥満体型の女性
* 1 男性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 女性医師
* 1 女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性医師
* 1 女性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 肥満体型の女性
* 2 男性
* 1 肥満体型の男性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 女性
* 3 アスリート体型の男性",1
"自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 2 猫
* 2 犬


歩行者が赤信号で交通違反をしていたことに注目してください。","自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 犯罪者
* 1 女性医師
* 1 女性高齢者
* 1 女性


歩行者が青信号で交通規則を守っていたことに注目してください。",0
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 少女
* 1 肥満体型の女性","自動運転車のブレーキが故障し直進します。前方の歩行者が犠牲になります。【結果】

死亡:
* 1 少年
* 1 肥満体型の男性",1
"自動運転車のブレーキが故障し回避します。他のレーンに移ります。【結果】

死亡:
* 1 男性","自動運転車のブレーキが故障し直進します。障害物に衝突。【結果】

死亡:
* 1 男性高齢者",1
